Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc,Learning_Rate,Epoch_Time_sec
0,1.203664,0.421840,1.218878,0.497700,0.100000,457.9578
1,0.790800,0.637620,0.787193,0.652800,0.099994,456.2834
2,0.624793,0.719380,0.654178,0.715400,0.099975,456.6377
3,0.534441,0.761900,0.700436,0.703700,0.099944,456.4237
4,0.469444,0.792780,0.599761,0.747000,0.099901,455.7219
5,0.433986,0.806940,0.704821,0.697200,0.099846,456.3259
6,0.399538,0.822840,0.521058,0.770200,0.099778,455.7717
7,0.376690,0.833540,0.403524,0.828000,0.099698,456.1795
8,0.351618,0.844060,0.428646,0.822900,0.099606,456.2777
9,0.334119,0.851700,0.426575,0.818600,0.099501,456.2464
10,0.326675,0.855760,0.491637,0.785500,0.099384,455.8326
11,0.308620,0.864220,0.411854,0.831300,0.099255,456.0055
12,0.299208,0.866340,0.359449,0.841900,0.099114,456.2759
13,0.293331,0.869660,0.324150,0.859800,0.098961,455.1821
14,0.284311,0.873680,0.531545,0.784700,0.098796,455.0706
15,0.279854,0.875880,0.340264,0.852500,0.098618,455.0291
16,0.269651,0.879700,0.397561,0.832500,0.098429,455.1283
17,0.264913,0.882580,0.404165,0.827700,0.098228,455.3867
18,0.258700,0.885900,0.298093,0.871000,0.098015,455.1751
19,0.253406,0.887300,0.339410,0.853600,0.097790,455.3888
20,0.250312,0.889000,0.299402,0.870900,0.097553,454.8947
21,0.246700,0.891400,0.284892,0.879000,0.097304,454.3922
22,0.240307,0.894160,0.383763,0.836700,0.097044,455.5626
21,0.246700,0.891400,0.284892,0.879000,0.097304,443.8860
22,0.240307,0.894160,0.383763,0.836700,0.097044,453.9087
23,0.239142,0.894780,0.308595,0.868400,0.096772,455.0000
24,0.239097,0.894700,0.336772,0.850800,0.096489,454.1464
25,0.230608,0.898120,0.351423,0.849500,0.096194,454.6304
26,0.229393,0.899640,0.286120,0.880300,0.095888,455.2443
27,0.223367,0.901460,0.345498,0.849800,0.095570,457.2560
28,0.232992,0.897020,0.365085,0.853900,0.095241,457.2352
29,0.223716,0.900760,0.348025,0.858400,0.094901,457.3948
30,0.219654,0.902680,0.283895,0.876000,0.094550,456.6491
31,0.218025,0.904040,0.453728,0.811100,0.094188,468.6842
32,0.214237,0.906540,0.389170,0.840100,0.093815,483.7097
33,0.210792,0.907560,0.433245,0.817200,0.093432,468.8760
34,0.211832,0.906720,0.483730,0.795800,0.093037,478.7899
35,0.205602,0.909520,0.328092,0.862800,0.092632,484.5445
36,0.205791,0.909460,0.386408,0.841900,0.092216,485.0013
37,0.207662,0.907720,0.283512,0.881900,0.091790,484.4640
38,0.196517,0.913480,0.239011,0.899000,0.091354,484.0850
