Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc,Learning_Rate,Epoch_Time_sec
0,3.317962,0.085960,2.992296,0.140200,0.100000,899.4408
1,2.709516,0.202380,3.163739,0.195300,0.099994,890.0643
2,2.290155,0.303640,2.387382,0.296500,0.099975,889.6073
3,1.998620,0.381720,2.775452,0.256100,0.099944,889.6162
4,1.788829,0.442780,2.286694,0.349800,0.099901,889.1548
5,1.637628,0.482660,1.924738,0.428900,0.099846,851.1203
6,1.511609,0.519160,1.846518,0.439300,0.099778,855.9019
7,1.426747,0.547400,1.667096,0.486900,0.099698,855.1907
8,1.333909,0.574400,1.628803,0.494700,0.099606,854.4993
9,1.275993,0.592620,1.482686,0.537200,0.099501,853.0813
10,1.214859,0.610120,1.530347,0.523200,0.099384,855.2373
11,1.163924,0.627180,1.411754,0.556100,0.099255,855.3916
12,1.113179,0.644960,1.304214,0.593500,0.099114,854.0083
13,1.078839,0.650940,1.416616,0.554000,0.098961,853.5797
14,1.041425,0.663560,1.386523,0.564200,0.098796,854.3676
15,1.016000,0.671900,1.351963,0.576800,0.098618,853.2719
16,0.974214,0.684120,1.338944,0.587500,0.098429,853.4532
17,0.949968,0.692460,1.240652,0.604600,0.098228,851.2616
18,0.941123,0.693660,1.326151,0.592800,0.098015,853.2532
19,0.914389,0.703620,1.282964,0.602200,0.097790,852.4034
20,0.894339,0.710780,1.438989,0.566800,0.097553,851.9264
21,0.869275,0.719060,1.473730,0.554200,0.097304,851.9736
22,0.851659,0.724140,1.338617,0.580600,0.097044,851.8519
23,0.832729,0.727900,1.444118,0.570000,0.096772,851.3140
24,0.825930,0.732220,1.211458,0.625200,0.096489,851.0945
25,0.800472,0.739100,1.423206,0.572300,0.096194,850.1858
26,0.788136,0.743480,1.397279,0.586800,0.095888,850.1544
27,0.783370,0.746600,1.352878,0.589700,0.095570,856.2585
28,0.759741,0.753080,1.150239,0.647000,0.095241,857.4788
29,0.750715,0.757520,1.216848,0.632300,0.094901,857.2959
30,0.737393,0.761680,1.208866,0.633200,0.094550,856.7374
31,0.723165,0.765400,1.290556,0.612400,0.094188,857.8033
32,0.717869,0.767660,1.322101,0.601700,0.093815,857.3367
33,0.702677,0.771160,1.260144,0.625500,0.093432,857.4165
34,0.702751,0.770680,1.326180,0.607100,0.093037,857.4298
